Folder 1,Folder 2,File,Class
Cropped Images,Evaluation Set,181021_20_22_18_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_22_18_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_42_20_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_42_20_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_42_20_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_42_20_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_42_20_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_42_20_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_42_20_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_42_20_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_42_20_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_57_31_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_31_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_31_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_31_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_31_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_31_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_31_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_31_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_31_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_57_42_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_42_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_42_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_42_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_42_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_42_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_42_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_42_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_42_Brick_Eval_crop3.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_53_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_53_Brick_Eval_cam1.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_57_54_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_54_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_57_54_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_54_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_54_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_54_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_57_54_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_58_13_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_13_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_13_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_13_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_13_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_13_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_13_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_13_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_13_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_58_29_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_29_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_29_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_29_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_29_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_29_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_29_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_29_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_29_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_58_47_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_47_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_47_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_47_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_58_47_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_47_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_47_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_47_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_58_47_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_59_03_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_03_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_03_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_03_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_03_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_03_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_03_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_03_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_03_Brick_Eval_crop3.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_17_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_17_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_17_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_17_Brick_Eval_cam3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_59_18_Brick_Eval_allcams0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_18_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_18_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_18_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_18_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_20_59_34_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_34_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_34_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_34_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_20_59_34_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_34_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_34_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_34_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_20_59_34_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_00_11_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_11_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_11_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_11_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_11_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_11_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_11_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_11_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_11_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_00_28_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_28_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_28_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_28_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_28_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_28_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_28_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_28_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_28_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_00_43_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_43_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_43_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_43_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_43_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_43_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_43_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_43_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_43_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_00_56_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_56_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_56_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_56_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_00_56_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_56_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_56_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_56_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_00_56_Brick_Eval_crop3.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_13_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_13_Brick_Eval_cam1.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_01_14_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_14_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_14_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_14_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_14_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_14_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_14_Brick_Eval_crop3.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_56_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_56_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_56_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_01_56_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_56_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_56_Brick_Eval_crop1.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_01_57_Brick_Eval_allcams0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_57_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_01_57_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_02_09_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_09_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_09_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_09_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_09_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_09_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_09_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_09_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_09_Brick_Eval_crop3.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_26_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_26_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_26_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_26_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_26_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_26_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_26_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_26_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_02_27_Brick_Eval_allcams0.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_02_47_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_47_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_47_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_47_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_02_47_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_47_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_47_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_47_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_02_47_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_21_03_03_Brick_Eval_allcams0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_03_03_Brick_Eval_cam0.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_03_03_Brick_Eval_cam1.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_03_03_Brick_Eval_cam2.jpg,Brick_1x1
Base Images,Evaluation Set,181021_21_03_03_Brick_Eval_cam3.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_03_03_Brick_Eval_crop0.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_03_03_Brick_Eval_crop1.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_03_03_Brick_Eval_crop2.jpg,Brick_1x1
Cropped Images,Evaluation Set,181021_21_03_03_Brick_Eval_crop3.jpg,Brick_1x1
Four Cameras,Evaluation Set,181021_19_40_17_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_17_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_17_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_17_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_17_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_17_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_17_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_17_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_17_Brick_Eval_crop3.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_35_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_35_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_35_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_40_35_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_35_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_35_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_35_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_40_35_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_40_36_Brick_Eval_allcams0.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_43_30_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_30_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_30_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_30_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_30_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_30_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_30_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_30_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_30_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_43_46_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_46_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_46_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_46_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_43_46_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_46_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_46_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_46_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_43_46_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_49_46_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_49_46_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_49_46_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_49_46_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_49_46_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_49_46_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_49_46_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_49_46_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_49_46_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_50_03_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_50_03_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_50_03_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_50_03_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_50_03_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_50_03_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_50_03_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_50_03_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_50_03_Brick_Eval_crop3.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_51_29_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_51_29_Brick_Eval_cam1.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_51_30_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_51_30_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_51_30_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_51_30_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_51_30_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_51_30_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_51_30_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_55_37_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_37_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_37_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_37_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_37_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_37_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_37_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_37_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_37_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_19_55_56_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_56_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_56_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_56_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_19_55_56_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_56_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_56_Brick_Eval_crop1.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_56_Brick_Eval_crop2.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_19_55_56_Brick_Eval_crop3.jpg,Brick_1x2
Four Cameras,Evaluation Set,181021_20_00_03_Brick_Eval_allcams0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_20_00_03_Brick_Eval_cam0.jpg,Brick_1x2
Base Images,Evaluation Set,181021_20_00_03_Brick_Eval_cam1.jpg,Brick_1x2
Base Images,Evaluation Set,181021_20_00_03_Brick_Eval_cam2.jpg,Brick_1x2
Base Images,Evaluation Set,181021_20_00_03_Brick_Eval_cam3.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_20_00_03_Brick_Eval_crop0.jpg,Brick_1x2
Cropped Images,Evaluation Set,181021_20_00_03_Brick_Eval_crop1.jpg,Brick_1x2
